term,text,gold_hard,predicted_hard_cal,pred_confidence_cal,kl_divergence_sample_cal
all,"# # 000d _ _ x000d _ hans burgkmair contributed 67 plates and albrecht altdorfer 38 . other artists were hans springinklee ( 20 plates ) , hans beck ( 7 plates ) and hans sch√ § ufelein ( 2 plates ) . the designs were cut by jost de negker ' s large team of block - cutters , work on the blocks carried out between 1516 and 1519 . blockcutters sometimes signed their name on the back of the blocks ( most of which survive in vienna ) , one of whom was cornelius liefrinck . the programme was worked out by emperor maximilian i and johannes stabius and written down by his secretary marx treitsaurwein . altdorfer and his workshop produced a set of miniatures ( 62 now in vienna albertina ) , following the same instructions . _ x000d _ _ x000d _ the two other mural projects were designed by albrecht d√ºrer with assistance from hans springinklee , wolf traut and albrecht altdorfer . they are a large triumphal arch in 192 blocks , almost 12 feet high and 10 feet wide when assembled , and a triumphal carriage in 8 large blocks , of 8 feet in length .",1,1,0.9871319532394408,0.0129515584315337
all,# # 0d _ 16 february ‚ ai 24 may 2015 _ x000d _ _ x000d _ maxine walker ( born 1962 ) _ x000d _ from the series untitled _ x000d _ 1995 _ x000d _ _ x000d _ walker draws attention to racial stereotypes as she _ x000d _ photographs herself in a variety of guises . she presents _ x000d _ her different skin tones and hairstyles as though they _ x000d _ were instantaneous transformations made in a photo _ x000d _ booth . the series invites consideration of the politics _ x000d _ of such cosmetic choices . _ x000d _ _ x000d _ c - type prints _ x000d _ museum nos . e . 303 to 310 - 2013 ; making it up : photographic fictions ( 2018 ) _ x000d _ marta weiss _ x000d _ _ x000d _ walker draws attention to racial stereotypes as she photographs herself in a variety of guises . she presents her different skin tones and hairstyles as though they were instantaneous transformations made in a photo booth . the series invites consideration of the politics of such cosmetic choices,1,1,0.9915595650672911,0.0084762563690313
all,"# # 0d _ formerly ascribed , unconvincingly to antonio tempesta . as philip pouncey has abserved , the style recalls certain drawings by bernardino campi such as popham , < i > windsor < / i > , nos . 184 and 185 , which are not entirely typical and yet are definitely by him , the former being signed and the latter being a study for a painting by him in s . sigismondo , cremona . our drawing , pouncey goes on to observe , also resembles in style a group of three studies for the altarpiece of christ church , oxford ( j . byam shaw , < i > loc . cit < / i > . no 1124 , under urbino ) ; and the third in the ashmolean museum , oxford ( parker , < i > ashmolean catalogue < / i > , no . 136 under bernardino campi ) . from the resemblance to these three drawings is by carlo urbino . but the three drawings seem markedly superior to those feeble essays in bernardino campi ' s style which are inscribed with urbino ' s name in an old hand . ( albertina , kutschera bequest , 4 , no . 27 ; louvre 10845 ; berlin",1,1,0.9878124594688416,0.0122624179105989
all,"# # 432 . public access description value . this is a plaster cast after michelangelo ' s marble original , 1504 - 06 , in the church of notre - dame , bruges , belgium . the maker of this cast is unknown and this is probably made in bruges , late 1871 . this cast was acquired from the belgian government in 1872 through the international exchange scheme initiated by henry cole . the agreement facilitated exchange between museums across europe of reproductions of objects in their respective countries . the document concluding this agreement , the international convention , was signed by the fifteen crowned princes of europe in 1867 at the paris exhibition . with the aid of this agreement , the south kensington museum was able to amass a collection of casts unrivaled in its international scope and diversity . _ x000d _ _ x000d _ the cast of the bruges madonna is today displayed alongside other casts of sculpture of michelangelo in the east cast court , devoted entirely to reproductions of italian works of art . it is probable that the surface of this cast was left unfinished to illustrate the complex network of piece molds required to make such a reproduction . since they were first opened in 1873 , the two magnificent cast court galleries at the v & amp ; a have displayed reproductions",1,1,0.9881360530853271,0.0119348857309725
all,"# # 72991 . public access description value . hand drawn chart accompanying a costume design by comelli for the character of eufemia in act ii , picture x , of a production of < i > angelo < / i > , theatre royal drury lane , 1923 . _ x000d _ _ x000d _ < i > angelo : the romance of a great composer < / i > is a play in a prologue and three acts . it was first performed in the apollo theatre , new york before being produced by arthur collins at the theatre royal drury lane in march and april of 1923 . the story is set in the early 1800s and was inspired by < i > the life of hoffman < / i > . this adaptation was written by louis n . parker , with music composed by e . n reznicek . the play is set largely in italy and centres upon the angelo and his love for a beautiful girl named giulia . alongside the flashbacks to their doomed romance the audience learns of angelo ‚ aos latest composition , an opera inspired by his love for giulia and entitled < i > undine < / i > . various locations , time periods and characters interweave as angelo anxiously waits to see his new opera will be received . much to",1,1,0.985054075717926,0.0150587409490297
all,"# # 75306 . physical description ( etc ) . ; large circular cloak of red crepe with vandyked and beaded edge , beads are crumbling . edged at hem with dark red knitted silk cord binding . metal spring clip at neck . ; jerkin / under - doublet with short sleeves with vandyked and beaded edges and close under - sleeves to match , mounted on an old grey tweed waistcoat for wear as an under - doublet , and with flap of red corded silk on right side under belt - hook . ; asymmetrical shoulder - drape of red crepe with vandyked and beaded edge , tacked together to represent a rolled - up cloak . beads crumbling at hem . ; sleeveless jerkin / over - tunic of red corded silk , lower edge sloping down to left and mounted with belt - hooks , front ornamented with flame - shaped motifs of red glass beads ( nine at the hem , five at the chest ) . cream padded satin lining , with boning . ; short , close breeches of red corded silk , with vandyked and beaded edges . hardly worn . working pockets in side . ; stock of red silk and plush velvet . red velvet around neck attached",1,1,0.9909756779670716,0.0090652880950857
all,"# # ayon . various sizes . < / i > _ x000d _ e . 2121 - 2124 - 1924 . _ x000d _ presented by the artist . _ x000d _ _ x000d _ st . agatha . fifth light in second range ( of five lights ) in window next the west end on the north side . _ x000d _ e . 2121 - 1924 _ x000d _ _ x000d _ st . catherine . designed by veronica whall . fifth light in second range ( of five lights ) of the middle window on the north side . _ x000d _ e . 2122 - 1924 _ x000d _ _ x000d _ st . swithun . second light in third range ( of five lights ) of window next the west end on the south side . _ x000d _ e . 2123 - 1924 _ x000d _ _ x000d _ st . stephen . fifth light in second range ( of five lights ) of the middle window on the south side . ( for position of this light , see sketch design e . 2125 - 1924 . ) _ x000d _ e . 2124 -",1,1,0.9861089587211608,0.0139884240681626
all,"# # l , in the ballet "" the sailor ' s return "" choreographed and designed by andr√©e howard to a score by arthur oldham and premiered by ballet rambert at sadler ' s wells theatre in 1947 . _ x000d _ howard devised the scenario from the novel of the same name by david garnett , producing a ballet in six scenes . the ballet traces the events set in train when the sailor , william targett , returns to his home village with tulip , a negro girl he married in a native ceremony ; the prejudice he encounters leads to his death and tulip sends their child away to be brought up in africa . _ x000d _ the design came to the museum as part of the cyril beaumont bequest . _ x000d _ _ x000d _ historical significance : "" the sailor ' s return "" was an example of drance drama , rather than pure ballet , and the second time that howard had turned to david garnett ' s novels as source , the first being for one of her finest works , "" lady into fox "" . the role of tulip provided sally gilmour with one of her finest dramatic roles . howard was one of a very few choreographers who also designed their own ballets",0,1,0.9850602746009828,2.170990369220529
all,"##0 drawings mounted in volume containing 144 pages of blue wove paper , full - bound in calf , the remaining 25 drawings unmounted . _ x000d _ < i > affixed inside the front cover are two specimen signatures in ink < / i > r . home . < i > some sketches inscribed with notes in pencil . _ x000d _ pencil , pen and ink , black chalk and watercolour . size of volume < / i > 25 x 18 _ x000d _ e . 685 - 1471 , 1471a , 1472 - 1519 , 1519a , 1520 - 1616 , 1616a , 1617 - 1626 - 1943 _ x000d _ _ x000d _ given by mrs e . f . lawrence and mrs . e . b . day , grand - daughters of the artist . '",1,1,0.9927617907524108,0.007264532125128
all,"##0d _ _ x000d _ 3 mounted black and white prints 39x38 cm _ x000d _ _ x000d _ 1 framed print ' child with sunflowers ' _ x000d _ _ x000d _ 5 notebooks various sizes _ x000d _ _ x000d _ 4 envelopes containing notes and magazine clippings _ x000d _ _ x000d _ 4 books ( penrose annual 1955 ; graphis annual ' 56 ; simon and shuster ; the art and technique of colour photography ; k helmer peterson , 122 colour photographs ) _ x000d _ _ x000d _ 1 framed print after rembrandt ( to indentify it of interest to prints section ) _ x000d _ _ x000d _ description of condition : good",1,1,0.992132604122162,0.0078985066846491
all,"##0d _ _ x000d _ ‚ aogerman poster designed by < u > hans lindenstaedt < / u > , born 1874 frankfurt . _ x000d _ probably 1900 - 1905 , advertising a strong beer . _ x000d _ published by kornsand & co . frankfurt . _ x000d _ signed : hans lindenstaedt _ x000d _ _ x000d _ text : _ x000d _ stern - br√ § u bock _ x000d _ _ x000d _ buff ground , black and black - edged white lettering ; image of a _ x000d _ boy on a leaping red - bridled goat holding aloft a foaming mug _ x000d _ printed in red , black , white , yellow and skin tone . ‚ ao",1,1,0.9896753430366516,0.0103783262652874
all,"##121886 . physical description ( etc ) . dish painted in blue , yellow , orange , copper green , dark red , manganese purple , and bluish black . depicting pope leo x in procession . in the act of benediction , he is carried by bearers shoulder - high on a chair , wearing the papal tiara and cope . a band across the middle of the picture is formed by a cavalcade of cardinals and other ecclesiastics mounted on mules , in their hats and robes , followed by laymen and soldiers on horses , one of whom carries a gonfanon with the arms of the medici ; in front of them is an elephant with rider . in the foreground are halberdiers marching to the sound of a drum and pipe , with an ensign carrying the medici flag , all of them in red , white and green striped livery .",1,1,0.989245593547821,0.010812653204531
all,"##8428 . physical description ( etc ) . ; dressed casually _ x000d _ head , moulded plastic , covered with nylon net , sewn up the back , painted facial features , red mouth , black eyes , brown eyesbrows and upper lid , shaped nose with brown nostril dots ; dark brown nylon hair glued to the head . _ x000d _ body - wire armature for positioning , padded torso ; nylon net stretched over rounded wire for the hands ; black vinyl moulded feet shaped as shoes . _ x000d _ dressed in a pair of brown corduroy trousers , a checked cotton shirt with dark red cord tie ; brown leather belt - these are not removable . ; waistcoat or jerkin of dark green felt ; clear plastic printed in white to show an archway design ; opens with a flap at the top",1,1,0.987618327140808,0.0124589642267297
all,"##d _ susan stronge , jewels for the mughal court , the v & a album v , 1986 , pp . 308 - 317 _ x000d _ untracht , oppi , traditional jewelry of india , thames and hudson , london , 1997 , pp . 380 - 388 _ x000d _ _ x000d _ _ x000d _ rogers , emma : arts of asia , vol . 45 , no . 5 , september - october 2015 , "" the parasol foundation trust programme : digitising and cataloguing the v & a ' s south asian collection . "" , p . 111 , pl . 37 . ; susan stronge , "" colonel guthrie ' s collection . jades of the mughal era "" , oriental art , winter 1993 / 1994 , vol . xxxix , no . 4 , fig . 11 ; ; ; ; ; ;",1,1,0.987496852874756,0.0125819695870848
all,"##quering : stored in a gold and black - lacquered box . ; suit of armour of black lacquered scales laced with dark blue silk braid , brocade sleeves with mail and laminated defences . it opens from the back and is distinguished by a narrow back - plate and small tapering shoulder - guards . ; helmet of sixty - two vertical plates , each with nineteen raised rivets , the whole lacquered black . deep peak with fore - crest socket ; two holders for side horns ( < i > kuwagata < / i > - missing ) ; small < i > fukigaeshi < / i > with < i > mon < / i > . ; iron face - mask , the interior lacquered in red . ; shin guard , part of black lacquered suit of armour . ; ; ; ; ; ; ; ; ; ;",1,1,0.9905024766921996,0.0095429122208128
